search_term,status,campaign_id,campaign_name,ad_group_id,ad_group_name,keyword_text,match_type,impressions,clicks,cost,conversions,conversion_value,ctr,cpc,is_brand_term,expected_ad_group,actual_ad_group,issue_type,priority,recommendation
online b2b marketplaces,NONE,22740783748,Search - NonBrand,184871850862,NB - Wholesalers,wholesale b2b portal,EXACT,8,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - Wholesalers,INTENT_MISMATCH,LOW,Consider adding [online b2b marketplaces] as negative to [NB - Wholesalers] to route to [B2B EComm]
online b2b platforms,NONE,22740783748,Search - NonBrand,184871850862,NB - Wholesalers,wholesale b2b portal,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - Wholesalers,INTENT_MISMATCH,LOW,Consider adding [online b2b platforms] as negative to [NB - Wholesalers] to route to [B2B EComm]
online b2b suppliers,NONE,22740783748,Search - NonBrand,184871850862,NB - Wholesalers,wholesale b2b portal,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - Wholesalers,INTENT_MISMATCH,LOW,Consider adding [online b2b suppliers] as negative to [NB - Wholesalers] to route to [B2B EComm]
top b2b wholesale websites,NONE,22740783748,Search - NonBrand,184871850862,NB - Wholesalers,wholesale b2b portal,EXACT,30,1,9.23,0.0,0.0,3.33,9.23,False,B2B EComm,NB - Wholesalers,INTENT_MISMATCH,LOW,Consider adding [top b2b wholesale websites] as negative to [NB - Wholesalers] to route to [B2B EComm]
wholesale b2b,NONE,22740783748,Search - NonBrand,184871850862,NB - Wholesalers,wholesale b2b portal,EXACT,51,7,188.45,0.0,0.0,13.73,26.92,False,B2B EComm,NB - Wholesalers,INTENT_MISMATCH,LOW,Consider adding [wholesale b2b] as negative to [NB - Wholesalers] to route to [B2B EComm]
wholesale b2b marketplace,NONE,22740783748,Search - NonBrand,184871850862,NB - Wholesalers,wholesale b2b portal,EXACT,25,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - Wholesalers,INTENT_MISMATCH,LOW,Consider adding [wholesale b2b marketplace] as negative to [NB - Wholesalers] to route to [B2B EComm]
wholesale b2b suppliers,NONE,22740783748,Search - NonBrand,184871850862,NB - Wholesalers,wholesale b2b portal,EXACT,4,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - Wholesalers,INTENT_MISMATCH,LOW,Consider adding [wholesale b2b suppliers] as negative to [NB - Wholesalers] to route to [B2B EComm]
b2b wholesale software,NONE,22740783748,Search - NonBrand,184871850862,NB - Wholesalers,wholesale commerce software,EXACT,6,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - Wholesalers,INTENT_MISMATCH,LOW,Consider adding [b2b wholesale software] as negative to [NB - Wholesalers] to route to [B2B EComm]
software for wholesale distributors,NONE,22740783748,Search - NonBrand,184871850862,NB - Wholesalers,wholesale commerce software,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,NB - Distributors,NB - Wholesalers,INTENT_MISMATCH,LOW,Consider adding [software for wholesale distributors] as negative to [NB - Wholesalers] to route to [NB - Distributors]
wholesale distributor software,NONE,22740783748,Search - NonBrand,184871850862,NB - Wholesalers,wholesale commerce software,EXACT,4,0,0.0,0.0,0.0,0.0,0,False,NB - Distributors,NB - Wholesalers,INTENT_MISMATCH,LOW,Consider adding [wholesale distributor software] as negative to [NB - Wholesalers] to route to [NB - Distributors]
wholesale ecommerce software,NONE,22740783748,Search - NonBrand,184871850862,NB - Wholesalers,wholesale commerce software,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - Wholesalers,INTENT_MISMATCH,LOW,Consider adding [wholesale ecommerce software] as negative to [NB - Wholesalers] to route to [B2B EComm]
b2b business portal,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b trade portal,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b business portal] as negative to [NB - General B2B] to route to [B2B EComm]
b2b business websites,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b trade portal,EXACT,1,1,33.8,0.0,0.0,100.0,33.8,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b business websites] as negative to [NB - General B2B] to route to [B2B EComm]
b2b e commerce platforms,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b trade portal,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b e commerce platforms] as negative to [NB - General B2B] to route to [B2B EComm]
b2b ecommerce platform,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b trade portal,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b ecommerce platform] as negative to [NB - General B2B] to route to [B2B EComm]
b2b ecommerce websites,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b trade portal,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b ecommerce websites] as negative to [NB - General B2B] to route to [B2B EComm]
b2b electronic marketplace,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b trade portal,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b electronic marketplace] as negative to [NB - General B2B] to route to [B2B EComm]
b2b it platform,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b trade portal,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b it platform] as negative to [NB - General B2B] to route to [B2B EComm]
b2b marketplace,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b trade portal,EXACT,61,2,34.94,0.0,0.0,3.28,17.47,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b marketplace] as negative to [NB - General B2B] to route to [B2B EComm]
b2b marketplace websites,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b trade portal,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b marketplace websites] as negative to [NB - General B2B] to route to [B2B EComm]
b2b marketplaces,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b trade portal,EXACT,25,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b marketplaces] as negative to [NB - General B2B] to route to [B2B EComm]
b2b marktplatz,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b trade portal,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b marktplatz] as negative to [NB - General B2B] to route to [B2B EComm]
b2b online marketplace,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b trade portal,EXACT,3,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b online marketplace] as negative to [NB - General B2B] to route to [B2B EComm]
b2b ordering portal,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b trade portal,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b ordering portal] as negative to [NB - General B2B] to route to [B2B EComm]
b2b platform,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b trade portal,EXACT,21,2,100.89,0.0,0.0,9.52,50.45,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b platform] as negative to [NB - General B2B] to route to [B2B EComm]
b2b platform services,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b trade portal,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b platform services] as negative to [NB - General B2B] to route to [B2B EComm]
b2b platforms,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b trade portal,EXACT,13,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b platforms] as negative to [NB - General B2B] to route to [B2B EComm]
b2b portaal,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b trade portal,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b portaal] as negative to [NB - General B2B] to route to [B2B EComm]
b2b portal,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b trade portal,EXACT,163,4,128.58,0.0,0.0,2.45,32.15,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b portal] as negative to [NB - General B2B] to route to [B2B EComm]
b2b purchasing platform,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b trade portal,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b purchasing platform] as negative to [NB - General B2B] to route to [B2B EComm]
b2b sales platform,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b trade portal,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b sales platform] as negative to [NB - General B2B] to route to [B2B EComm]
b2b service marketplace,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b trade portal,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b service marketplace] as negative to [NB - General B2B] to route to [B2B EComm]
b2b service platform,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b trade portal,EXACT,1,1,53.21,0.0,0.0,100.0,53.21,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b service platform] as negative to [NB - General B2B] to route to [B2B EComm]
b2b trade marketplace,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b trade portal,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b trade marketplace] as negative to [NB - General B2B] to route to [B2B EComm]
b2b trade platform,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b trade portal,EXACT,4,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b trade platform] as negative to [NB - General B2B] to route to [B2B EComm]
b2b trading platform,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b trade portal,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b trading platform] as negative to [NB - General B2B] to route to [B2B EComm]
b2b web platform,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b trade portal,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b web platform] as negative to [NB - General B2B] to route to [B2B EComm]
b2b websites,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b trade portal,EXACT,52,2,76.25,0.0,0.0,3.85,38.12,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b websites] as negative to [NB - General B2B] to route to [B2B EComm]
b2b webstore,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b trade portal,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b webstore] as negative to [NB - General B2B] to route to [B2B EComm]
marketplace b2b,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b trade portal,EXACT,1,1,62.95,2.0,26.0,100.0,62.95,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [marketplace b2b] as negative to [NB - General B2B] to route to [B2B EComm]
marketplaces b2b,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b trade portal,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [marketplaces b2b] as negative to [NB - General B2B] to route to [B2B EComm]
online b2b marketplace,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b trade portal,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [online b2b marketplace] as negative to [NB - General B2B] to route to [B2B EComm]
online b2b marketplaces,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b trade portal,EXACT,3,1,21.5,0.0,0.0,33.33,21.5,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [online b2b marketplaces] as negative to [NB - General B2B] to route to [B2B EComm]
plateforme b2b,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b trade portal,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [plateforme b2b] as negative to [NB - General B2B] to route to [B2B EComm]
portail b2b,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b trade portal,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [portail b2b] as negative to [NB - General B2B] to route to [B2B EComm]
portal b2b,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b trade portal,EXACT,3,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [portal b2b] as negative to [NB - General B2B] to route to [B2B EComm]
trade b2b,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b trade portal,EXACT,3,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [trade b2b] as negative to [NB - General B2B] to route to [B2B EComm]
what is b2b portal,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b trade portal,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [what is b2b portal] as negative to [NB - General B2B] to route to [B2B EComm]
b2b commerce platforms,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b ecommerce solution,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b commerce platforms] as negative to [NB - General B2B] to route to [B2B EComm]
b2b e commerce software,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b ecommerce solution,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b e commerce software] as negative to [NB - General B2B] to route to [B2B EComm]
b2b e commerce system,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b ecommerce solution,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b e commerce system] as negative to [NB - General B2B] to route to [B2B EComm]
b2b ecommerce,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b ecommerce solution,EXACT,7,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b ecommerce] as negative to [NB - General B2B] to route to [B2B EComm]
b2b ecommerce integration,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b ecommerce solution,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b ecommerce integration] as negative to [NB - General B2B] to route to [B2B EComm]
b2b ecommerce platform,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b ecommerce solution,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b ecommerce platform] as negative to [NB - General B2B] to route to [B2B EComm]
b2b ecommerce software solutions,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b ecommerce solution,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b ecommerce software solutions] as negative to [NB - General B2B] to route to [B2B EComm]
b2b ecommerce solution,ADDED,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b ecommerce solution,EXACT,3,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b ecommerce solution] as negative to [NB - General B2B] to route to [B2B EComm]
b2b ecommerce solutions,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b ecommerce solution,EXACT,6,1,68.74,0.0,0.0,16.67,68.74,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b ecommerce solutions] as negative to [NB - General B2B] to route to [B2B EComm]
b2b ecommerce webshop,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b ecommerce solution,EXACT,3,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b ecommerce webshop] as negative to [NB - General B2B] to route to [B2B EComm]
b2b onlineshop software,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b ecommerce solution,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b onlineshop software] as negative to [NB - General B2B] to route to [B2B EComm]
best b2b ecommerce,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b ecommerce solution,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [best b2b ecommerce] as negative to [NB - General B2B] to route to [B2B EComm]
best b2b ecommerce solution,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b ecommerce solution,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [best b2b ecommerce solution] as negative to [NB - General B2B] to route to [B2B EComm]
solution b2b,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b ecommerce solution,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [solution b2b] as negative to [NB - General B2B] to route to [B2B EComm]
b2b commerce software,ADDED,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b commerce software,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b commerce software] as negative to [NB - General B2B] to route to [B2B EComm]
b2b enterprise software,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b commerce software,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b enterprise software] as negative to [NB - General B2B] to route to [B2B EComm]
b2b portal software,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b commerce software,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b portal software] as negative to [NB - General B2B] to route to [B2B EComm]
b2b sales software,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b commerce software,EXACT,10,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b sales software] as negative to [NB - General B2B] to route to [B2B EComm]
b2b software,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b commerce software,EXACT,245,4,109.79,0.0,0.0,1.63,27.45,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b software] as negative to [NB - General B2B] to route to [B2B EComm]
b2b software products,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b commerce software,EXACT,12,1,28.28,0.0,0.0,8.33,28.28,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b software products] as negative to [NB - General B2B] to route to [B2B EComm]
b2b software sales,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b commerce software,EXACT,3,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b software sales] as negative to [NB - General B2B] to route to [B2B EComm]
b2b software solutions,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b commerce software,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b software solutions] as negative to [NB - General B2B] to route to [B2B EComm]
b2b softwares,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b commerce software,EXACT,4,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b softwares] as negative to [NB - General B2B] to route to [B2B EComm]
b2b systems,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b commerce software,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b systems] as negative to [NB - General B2B] to route to [B2B EComm]
b2b wholesale software,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b commerce software,EXACT,6,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b wholesale software] as negative to [NB - General B2B] to route to [B2B EComm]
software b2b,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b commerce software,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [software b2b] as negative to [NB - General B2B] to route to [B2B EComm]
unified commerce,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,unified commerce platform,EXACT,115,1,61.4,0.0,0.0,0.87,61.4,False,B2B Other Keywords,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [unified commerce] as negative to [NB - General B2B] to route to [B2B Other Keywords]
unified commerce platform,ADDED,22740783748,Search - NonBrand,184871850902,NB - General B2B,unified commerce platform,EXACT,25,2,95.8,0.0,0.0,8.0,47.9,False,B2B Other Keywords,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [unified commerce platform] as negative to [NB - General B2B] to route to [B2B Other Keywords]
unified commerce platforms,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,unified commerce platform,EXACT,4,0,0.0,0.0,0.0,0.0,0,False,B2B Other Keywords,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [unified commerce platforms] as negative to [NB - General B2B] to route to [B2B Other Keywords]
unified commerce protocol,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,unified commerce platform,EXACT,5,0,0.0,0.0,0.0,0.0,0,False,B2B Other Keywords,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [unified commerce protocol] as negative to [NB - General B2B] to route to [B2B Other Keywords]
unified commerce retail platform,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,unified commerce platform,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,B2C EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [unified commerce retail platform] as negative to [NB - General B2B] to route to [B2C EComm]
unified commerce solutions,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,unified commerce platform,EXACT,7,0,0.0,0.0,0.0,0.0,0,False,B2B Other Keywords,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [unified commerce solutions] as negative to [NB - General B2B] to route to [B2B Other Keywords]
b2b commerce,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b commerce platform,EXACT,28,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b commerce] as negative to [NB - General B2B] to route to [B2B EComm]
b2b commerce platform,ADDED,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b commerce platform,EXACT,5,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b commerce platform] as negative to [NB - General B2B] to route to [B2B EComm]
b2b commerce platforms,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b commerce platform,EXACT,15,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b commerce platforms] as negative to [NB - General B2B] to route to [B2B EComm]
b2b commerce solution,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b commerce platform,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b commerce solution] as negative to [NB - General B2B] to route to [B2B EComm]
b2b commerce solutions,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b commerce platform,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b commerce solutions] as negative to [NB - General B2B] to route to [B2B EComm]
b2b digital commerce,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b commerce platform,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b digital commerce] as negative to [NB - General B2B] to route to [B2B EComm]
b2b e business,ADDED,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b commerce platform,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b e business] as negative to [NB - General B2B] to route to [B2B EComm]
b2b e commerce,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b commerce platform,EXACT,31,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b e commerce] as negative to [NB - General B2B] to route to [B2B EComm]
b2b e commerce platform,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b commerce platform,EXACT,6,1,32.71,0.0,0.0,16.67,32.71,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b e commerce platform] as negative to [NB - General B2B] to route to [B2B EComm]
b2b e commerce platforms,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b commerce platform,EXACT,3,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b e commerce platforms] as negative to [NB - General B2B] to route to [B2B EComm]
b2b e commerce software,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b commerce platform,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b e commerce software] as negative to [NB - General B2B] to route to [B2B EComm]
b2b e commerce system,NONE,22740783748,Search - NonBrand,184871850902,NB - General B2B,b2b commerce platform,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,NB - General B2B,INTENT_MISMATCH,LOW,Consider adding [b2b e commerce system] as negative to [NB - General B2B] to route to [B2B EComm]
